#           k/h    P           
    0.10000E-03    0.11148E+03
    0.10202E-03    0.11364E+03
    0.10408E-03    0.11584E+03
    0.10618E-03    0.11809E+03
    0.10833E-03    0.12038E+03
    0.11052E-03    0.12271E+03
    0.11275E-03    0.12509E+03
    0.11503E-03    0.12751E+03
    0.11735E-03    0.12998E+03
    0.11972E-03    0.13250E+03
    0.12214E-03    0.13506E+03
    0.12461E-03    0.13768E+03
    0.12712E-03    0.14035E+03
    0.12969E-03    0.14307E+03
    0.13231E-03    0.14584E+03
    0.13499E-03    0.14866E+03
    0.13771E-03    0.15154E+03
    0.14049E-03    0.15448E+03
    0.14333E-03    0.15747E+03
    0.14623E-03    0.16052E+03
    0.14918E-03    0.16363E+03
    0.15220E-03    0.16679E+03
    0.15527E-03    0.17002E+03
    0.15841E-03    0.17332E+03
    0.16161E-03    0.17667E+03
    0.16487E-03    0.18009E+03
    0.16820E-03    0.18358E+03
    0.17160E-03    0.18713E+03
    0.17507E-03    0.19075E+03
    0.17860E-03    0.19445E+03
    0.18221E-03    0.19821E+03
    0.18589E-03    0.20205E+03
    0.18965E-03    0.20596E+03
    0.19348E-03    0.20994E+03
    0.19739E-03    0.21400E+03
    0.20138E-03    0.21814E+03
    0.20544E-03    0.22236E+03
    0.20959E-03    0.22667E+03
    0.21383E-03    0.23105E+03
    0.21815E-03    0.23552E+03
    0.22255E-03    0.24008E+03
    0.22705E-03    0.24472E+03
    0.23164E-03    0.24945E+03
    0.23632E-03    0.25427E+03
    0.24109E-03    0.25919E+03
    0.24596E-03    0.26420E+03
    0.25093E-03    0.26931E+03
    0.25600E-03    0.27451E+03
    0.26117E-03    0.27982E+03
    0.26645E-03    0.28522E+03
    0.27183E-03    0.29073E+03
    0.27732E-03    0.29635E+03
    0.28292E-03    0.30207E+03
    0.28864E-03    0.30791E+03
    0.29447E-03    0.31385E+03
    0.30042E-03    0.31991E+03
    0.30649E-03    0.32609E+03
    0.31268E-03    0.33238E+03
    0.31899E-03    0.33880E+03
    0.32544E-03    0.34533E+03
    0.33201E-03    0.35200E+03
    0.33872E-03    0.35879E+03
    0.34556E-03    0.36570E+03
    0.35254E-03    0.37275E+03
    0.35966E-03    0.37994E+03
    0.36693E-03    0.38726E+03
    0.37434E-03    0.39472E+03
    0.38190E-03    0.40233E+03
    0.38962E-03    0.41008E+03
    0.39749E-03    0.41797E+03
    0.40552E-03    0.42602E+03
    0.41371E-03    0.43422E+03
    0.42207E-03    0.44257E+03
    0.43060E-03    0.45108E+03
    0.43929E-03    0.45976E+03
    0.44817E-03    0.46860E+03
    0.45722E-03    0.47760E+03
    0.46646E-03    0.48678E+03
    0.47588E-03    0.49613E+03
    0.48550E-03    0.50565E+03
    0.49530E-03    0.51536E+03
    0.50531E-03    0.52524E+03
    0.51552E-03    0.53532E+03
    0.52593E-03    0.54558E+03
    0.53656E-03    0.55603E+03
    0.54739E-03    0.56668E+03
    0.55845E-03    0.57753E+03
    0.56973E-03    0.58859E+03
    0.58124E-03    0.59985E+03
    0.59299E-03    0.61132E+03
    0.60496E-03    0.62300E+03
    0.61719E-03    0.63490E+03
    0.62965E-03    0.64702E+03
    0.64237E-03    0.65937E+03
    0.65535E-03    0.67194E+03
    0.66859E-03    0.68475E+03
    0.68210E-03    0.69779E+03
    0.69588E-03    0.71108E+03
    0.70993E-03    0.72460E+03
    0.72427E-03    0.73838E+03
    0.73891E-03    0.75241E+03
    0.75383E-03    0.76669E+03
    0.76906E-03    0.78124E+03
    0.78460E-03    0.79605E+03
    0.80045E-03    0.81113E+03
    0.81662E-03    0.82649E+03
    0.83311E-03    0.84212E+03
    0.84994E-03    0.85803E+03
    0.86711E-03    0.87423E+03
    0.88463E-03    0.89072E+03
    0.90250E-03    0.90751E+03
    0.92073E-03    0.92460E+03
    0.93933E-03    0.94199E+03
    0.95831E-03    0.95969E+03
    0.97767E-03    0.97770E+03
    0.99742E-03    0.99604E+03
    0.10176E-02    0.10147E+04
    0.10381E-02    0.10337E+04
    0.10591E-02    0.10530E+04
    0.10805E-02    0.10726E+04
    0.11023E-02    0.10926E+04
    0.11246E-02    0.11130E+04
    0.11473E-02    0.11337E+04
    0.11705E-02    0.11547E+04
    0.11941E-02    0.11761E+04
    0.12182E-02    0.11979E+04
    0.12429E-02    0.12201E+04
    0.12680E-02    0.12426E+04
    0.12936E-02    0.12655E+04
    0.13197E-02    0.12888E+04
    0.13464E-02    0.13125E+04
    0.13736E-02    0.13365E+04
    0.14013E-02    0.13610E+04
    0.14296E-02    0.13859E+04
    0.14585E-02    0.14112E+04
    0.14880E-02    0.14369E+04
    0.15180E-02    0.14630E+04
    0.15487E-02    0.14895E+04
    0.15800E-02    0.15165E+04
    0.16119E-02    0.15439E+04
    0.16445E-02    0.15717E+04
    0.16777E-02    0.16000E+04
    0.17116E-02    0.16287E+04
    0.17462E-02    0.16578E+04
    0.17814E-02    0.16874E+04
    0.18174E-02    0.17175E+04
    0.18541E-02    0.17480E+04
    0.18916E-02    0.17790E+04
    0.19298E-02    0.18104E+04
    0.19688E-02    0.18424E+04
    0.20086E-02    0.18748E+04
    0.20491E-02    0.19076E+04
    0.20905E-02    0.19410E+04
    0.21328E-02    0.19748E+04
    0.21758E-02    0.20091E+04
    0.22198E-02    0.20439E+04
    0.22646E-02    0.20792E+04
    0.23104E-02    0.21149E+04
    0.23571E-02    0.21512E+04
    0.24047E-02    0.21879E+04
    0.24533E-02    0.22252E+04
    0.25028E-02    0.22629E+04
    0.25534E-02    0.23012E+04
    0.26050E-02    0.23399E+04
    0.26576E-02    0.23791E+04
    0.27113E-02    0.24189E+04
    0.27660E-02    0.24591E+04
    0.28219E-02    0.24998E+04
    0.28789E-02    0.25410E+04
    0.29371E-02    0.25827E+04
    0.29964E-02    0.26249E+04
    0.30569E-02    0.26676E+04
    0.31187E-02    0.27107E+04
    0.31817E-02    0.27544E+04
    0.32460E-02    0.27985E+04
    0.33115E-02    0.28431E+04
    0.33784E-02    0.28882E+04
    0.34467E-02    0.29338E+04
    0.35163E-02    0.29798E+04
    0.35874E-02    0.30262E+04
    0.36598E-02    0.30731E+04
    0.37338E-02    0.31205E+04
    0.38092E-02    0.31683E+04
    0.38861E-02    0.32165E+04
    0.39646E-02    0.32651E+04
    0.40447E-02    0.33142E+04
    0.41264E-02    0.33636E+04
    0.42098E-02    0.34135E+04
    0.42948E-02    0.34637E+04
    0.43816E-02    0.35143E+04
    0.44701E-02    0.35653E+04
    0.45604E-02    0.36165E+04
    0.46525E-02    0.36682E+04
    0.47465E-02    0.37201E+04
    0.48424E-02    0.37724E+04
    0.49402E-02    0.38249E+04
    0.50400E-02    0.38777E+04
    0.51419E-02    0.39307E+04
    0.52457E-02    0.39840E+04
    0.53517E-02    0.40375E+04
    0.54598E-02    0.40912E+04
    0.55701E-02    0.41451E+04
    0.56826E-02    0.41991E+04
    0.57974E-02    0.42532E+04
    0.59145E-02    0.43075E+04
    0.60340E-02    0.43619E+04
    0.61559E-02    0.44164E+04
    0.62803E-02    0.44707E+04
    0.64072E-02    0.45251E+04
    0.65366E-02    0.45795E+04
    0.66686E-02    0.46338E+04
    0.68033E-02    0.46880E+04
    0.69408E-02    0.47421E+04
    0.70810E-02    0.47960E+04
    0.72240E-02    0.48497E+04
    0.73700E-02    0.49032E+04
    0.75189E-02    0.49564E+04
    0.76708E-02    0.50093E+04
    0.78257E-02    0.50618E+04
    0.79838E-02    0.51138E+04
    0.81451E-02    0.51656E+04
    0.83096E-02    0.52169E+04
    0.84775E-02    0.52676E+04
    0.86488E-02    0.53178E+04
    0.88235E-02    0.53674E+04
    0.90017E-02    0.54163E+04
    0.91836E-02    0.54645E+04
    0.93691E-02    0.55120E+04
    0.95583E-02    0.55587E+04
    0.97514E-02    0.56046E+04
    0.99484E-02    0.56495E+04
    0.10149E-01    0.56934E+04
    0.10354E-01    0.57363E+04
    0.10564E-01    0.57782E+04
    0.10777E-01    0.58188E+04
    0.10995E-01    0.58583E+04
    0.11217E-01    0.58966E+04
    0.11443E-01    0.59334E+04
    0.11675E-01    0.59690E+04
    0.11910E-01    0.60030E+04
    0.12151E-01    0.60356E+04
    0.12397E-01    0.60665E+04
    0.12647E-01    0.60959E+04
    0.12902E-01    0.61235E+04
    0.13163E-01    0.61493E+04
    0.13429E-01    0.61733E+04
    0.13700E-01    0.61954E+04
    0.13977E-01    0.62154E+04
    0.14259E-01    0.62335E+04
    0.14547E-01    0.62494E+04
    0.14841E-01    0.62631E+04
    0.15141E-01    0.62746E+04
    0.15447E-01    0.62838E+04
    0.15759E-01    0.62906E+04
    0.16077E-01    0.62950E+04
    0.16402E-01    0.62969E+04
    0.16734E-01    0.62962E+04
    0.17072E-01    0.62929E+04
    0.17416E-01    0.62869E+04
    0.17768E-01    0.62782E+04
    0.18127E-01    0.62668E+04
    0.18493E-01    0.62525E+04
    0.18867E-01    0.62355E+04
    0.19248E-01    0.62155E+04
    0.19637E-01    0.61926E+04
    0.20034E-01    0.61668E+04
    0.20438E-01    0.61381E+04
    0.20851E-01    0.61063E+04
    0.21272E-01    0.60717E+04
    0.21702E-01    0.60340E+04
    0.22141E-01    0.59935E+04
    0.22588E-01    0.59499E+04
    0.23044E-01    0.59035E+04
    0.23510E-01    0.58542E+04
    0.23985E-01    0.58021E+04
    0.24469E-01    0.57472E+04
    0.24964E-01    0.56896E+04
    0.25468E-01    0.56294E+04
    0.25982E-01    0.55666E+04
    0.26507E-01    0.55014E+04
    0.27043E-01    0.54339E+04
    0.27589E-01    0.53641E+04
    0.28146E-01    0.52923E+04
    0.28715E-01    0.52186E+04
    0.29295E-01    0.51430E+04
    0.29887E-01    0.50659E+04
    0.30490E-01    0.49873E+04
    0.31106E-01    0.49075E+04
    0.31735E-01    0.48266E+04
    0.32376E-01    0.47448E+04
    0.33030E-01    0.46625E+04
    0.33697E-01    0.45797E+04
    0.34378E-01    0.44966E+04
    0.35072E-01    0.44136E+04
    0.35781E-01    0.43310E+04
    0.36504E-01    0.42488E+04
    0.37241E-01    0.41670E+04
    0.37993E-01    0.40856E+04
    0.38761E-01    0.40050E+04
    0.39544E-01    0.39255E+04
    0.40343E-01    0.38477E+04
    0.41158E-01    0.37717E+04
    0.41989E-01    0.36978E+04
    0.42838E-01    0.36260E+04
    0.43703E-01    0.35566E+04
    0.44586E-01    0.34897E+04
    0.45486E-01    0.34254E+04
    0.46405E-01    0.33637E+04
    0.47343E-01    0.33046E+04
    0.48299E-01    0.32481E+04
    0.49275E-01    0.31940E+04
    0.50270E-01    0.31424E+04
    0.51286E-01    0.30930E+04
    0.52322E-01    0.30456E+04
    0.53379E-01    0.30001E+04
    0.54457E-01    0.29564E+04
    0.55557E-01    0.29142E+04
    0.56680E-01    0.28732E+04
    0.57825E-01    0.28329E+04
    0.58993E-01    0.27946E+04
    0.60184E-01    0.27585E+04
    0.61400E-01    0.27227E+04
    0.62641E-01    0.26856E+04
    0.63906E-01    0.26474E+04
    0.65197E-01    0.26087E+04
    0.66514E-01    0.25691E+04
    0.67858E-01    0.25279E+04
    0.69229E-01    0.24846E+04
    0.70627E-01    0.24389E+04
    0.72054E-01    0.23906E+04
    0.73510E-01    0.23394E+04
    0.74994E-01    0.22853E+04
    0.76509E-01    0.22284E+04
    0.78055E-01    0.21688E+04
    0.79632E-01    0.21069E+04
    0.81241E-01    0.20431E+04
    0.82882E-01    0.19779E+04
    0.84556E-01    0.19120E+04
    0.86264E-01    0.18458E+04
    0.88007E-01    0.17800E+04
    0.89785E-01    0.17152E+04
    0.91598E-01    0.16519E+04
    0.93449E-01    0.15907E+04
    0.95337E-01    0.15321E+04
    0.97263E-01    0.14766E+04
    0.99227E-01    0.14245E+04
    0.10123E+00    0.13762E+04
    0.10328E+00    0.13321E+04
    0.10536E+00    0.12922E+04
    0.10749E+00    0.12565E+04
    0.10966E+00    0.12248E+04
    0.11188E+00    0.11968E+04
    0.11414E+00    0.11720E+04
    0.11644E+00    0.11498E+04
    0.11880E+00    0.11293E+04
    0.12120E+00    0.11098E+04
    0.12365E+00    0.10904E+04
    0.12614E+00    0.10701E+04
    0.12869E+00    0.10482E+04
    0.13129E+00    0.10239E+04
    0.13394E+00    0.99694E+03
    0.13665E+00    0.96712E+03
    0.13941E+00    0.93466E+03
    0.14223E+00    0.90007E+03
    0.14510E+00    0.86405E+03
    0.14803E+00    0.82737E+03
    0.15102E+00    0.79087E+03
    0.15407E+00    0.75534E+03
    0.15718E+00    0.72162E+03
    0.16036E+00    0.69046E+03
    0.16360E+00    0.66252E+03
    0.16690E+00    0.63816E+03
    0.17028E+00    0.61740E+03
    0.17371E+00    0.59985E+03
    0.17722E+00    0.58480E+03
    0.18080E+00    0.57143E+03
    0.18446E+00    0.55884E+03
    0.18818E+00    0.54621E+03
    0.19198E+00    0.53279E+03
    0.19586E+00    0.51794E+03
    0.19982E+00    0.50129E+03
    0.20386E+00    0.48283E+03
    0.20797E+00    0.46297E+03
    0.21218E+00    0.44242E+03
    0.21646E+00    0.42203E+03
    0.22083E+00    0.40259E+03
    0.22530E+00    0.38475E+03
    0.22985E+00    0.36901E+03
    0.23449E+00    0.35548E+03
    0.23923E+00    0.34398E+03
    0.24406E+00    0.33398E+03
    0.24899E+00    0.32473E+03
    0.25402E+00    0.31554E+03
    0.25915E+00    0.30582E+03
    0.26439E+00    0.29527E+03
    0.26973E+00    0.28382E+03
    0.27518E+00    0.27178E+03
    0.28074E+00    0.25966E+03
    0.28641E+00    0.24802E+03
    0.29219E+00    0.23738E+03
    0.29810E+00    0.22791E+03
    0.30412E+00    0.21960E+03
    0.31026E+00    0.21214E+03
    0.31653E+00    0.20513E+03
    0.32292E+00    0.19816E+03
    0.32945E+00    0.19090E+03
    0.33610E+00    0.18331E+03
    0.34289E+00    0.17554E+03
    0.34982E+00    0.16791E+03
    0.35689E+00    0.16075E+03
    0.36409E+00    0.15419E+03
    0.37145E+00    0.14825E+03
    0.37895E+00    0.14274E+03
    0.38661E+00    0.13743E+03
    0.39442E+00    0.13216E+03
    0.40239E+00    0.12681E+03
    0.41052E+00    0.12148E+03
    0.41881E+00    0.11631E+03
    0.42727E+00    0.11143E+03
    0.43590E+00    0.10691E+03
    0.44471E+00    0.10267E+03
    0.45369E+00    0.98602E+02
    0.46286E+00    0.94620E+02
    0.47221E+00    0.90682E+02
    0.48174E+00    0.86851E+02
    0.49148E+00    0.83184E+02
    0.50141E+00    0.79713E+02
    0.51153E+00    0.76433E+02
    0.52187E+00    0.73283E+02
    0.53241E+00    0.70225E+02
    0.54317E+00    0.67258E+02
    0.55414E+00    0.64395E+02
    0.56533E+00    0.61661E+02
    0.57675E+00    0.59060E+02
    0.58840E+00    0.56565E+02
    0.60029E+00    0.54161E+02
    0.61242E+00    0.51845E+02
    0.62479E+00    0.49617E+02
    0.63741E+00    0.47486E+02
    0.65029E+00    0.45449E+02
    0.66342E+00    0.43495E+02
    0.67683E+00    0.41620E+02
    0.69050E+00    0.39820E+02
    0.70445E+00    0.38093E+02
    0.71868E+00    0.36436E+02
    0.73320E+00    0.34846E+02
    0.74801E+00    0.33323E+02
    0.76312E+00    0.31862E+02
    0.77854E+00    0.30462E+02
    0.79426E+00    0.29121E+02
    0.81031E+00    0.27836E+02
    0.82668E+00    0.26606E+02
    0.84338E+00    0.25428E+02
    0.86041E+00    0.24300E+02
    0.87780E+00    0.23220E+02
    0.89553E+00    0.22186E+02
    0.91362E+00    0.21197E+02
    0.93208E+00    0.20249E+02
    0.95091E+00    0.19343E+02
    0.97011E+00    0.18475E+02
    0.98971E+00    0.17645E+02
    0.10097E+01    0.16851E+02
    0.10301E+01    0.16091E+02
    0.10509E+01    0.15363E+02
    0.10721E+01    0.14668E+02
    0.10938E+01    0.14003E+02
    0.11159E+01    0.13366E+02
    0.11384E+01    0.12758E+02
