#           k/h    P           
    0.10000E-03    0.99589E+02
    0.10202E-03    0.10152E+03
    0.10408E-03    0.10349E+03
    0.10618E-03    0.10549E+03
    0.10833E-03    0.10754E+03
    0.11052E-03    0.10962E+03
    0.11275E-03    0.11174E+03
    0.11503E-03    0.11391E+03
    0.11735E-03    0.11611E+03
    0.11972E-03    0.11836E+03
    0.12214E-03    0.12066E+03
    0.12461E-03    0.12299E+03
    0.12712E-03    0.12538E+03
    0.12969E-03    0.12781E+03
    0.13231E-03    0.13028E+03
    0.13499E-03    0.13281E+03
    0.13771E-03    0.13538E+03
    0.14049E-03    0.13800E+03
    0.14333E-03    0.14067E+03
    0.14623E-03    0.14340E+03
    0.14918E-03    0.14618E+03
    0.15220E-03    0.14901E+03
    0.15527E-03    0.15189E+03
    0.15841E-03    0.15483E+03
    0.16161E-03    0.15783E+03
    0.16487E-03    0.16089E+03
    0.16820E-03    0.16400E+03
    0.17160E-03    0.16718E+03
    0.17507E-03    0.17042E+03
    0.17860E-03    0.17371E+03
    0.18221E-03    0.17708E+03
    0.18589E-03    0.18051E+03
    0.18965E-03    0.18400E+03
    0.19348E-03    0.18756E+03
    0.19739E-03    0.19119E+03
    0.20138E-03    0.19489E+03
    0.20544E-03    0.19866E+03
    0.20959E-03    0.20251E+03
    0.21383E-03    0.20643E+03
    0.21815E-03    0.21042E+03
    0.22255E-03    0.21449E+03
    0.22705E-03    0.21864E+03
    0.23164E-03    0.22287E+03
    0.23632E-03    0.22718E+03
    0.24109E-03    0.23157E+03
    0.24596E-03    0.23605E+03
    0.25093E-03    0.24061E+03
    0.25600E-03    0.24527E+03
    0.26117E-03    0.25001E+03
    0.26645E-03    0.25484E+03
    0.27183E-03    0.25977E+03
    0.27732E-03    0.26479E+03
    0.28292E-03    0.26990E+03
    0.28864E-03    0.27512E+03
    0.29447E-03    0.28043E+03
    0.30042E-03    0.28585E+03
    0.30649E-03    0.29137E+03
    0.31268E-03    0.29699E+03
    0.31899E-03    0.30273E+03
    0.32544E-03    0.30857E+03
    0.33201E-03    0.31453E+03
    0.33872E-03    0.32060E+03
    0.34556E-03    0.32678E+03
    0.35254E-03    0.33308E+03
    0.35966E-03    0.33951E+03
    0.36693E-03    0.34605E+03
    0.37434E-03    0.35273E+03
    0.38190E-03    0.35952E+03
    0.38962E-03    0.36645E+03
    0.39749E-03    0.37351E+03
    0.40552E-03    0.38070E+03
    0.41371E-03    0.38803E+03
    0.42207E-03    0.39550E+03
    0.43060E-03    0.40311E+03
    0.43929E-03    0.41087E+03
    0.44817E-03    0.41877E+03
    0.45722E-03    0.42682E+03
    0.46646E-03    0.43503E+03
    0.47588E-03    0.44338E+03
    0.48550E-03    0.45190E+03
    0.49530E-03    0.46058E+03
    0.50531E-03    0.46942E+03
    0.51552E-03    0.47842E+03
    0.52593E-03    0.48760E+03
    0.53656E-03    0.49695E+03
    0.54739E-03    0.50647E+03
    0.55845E-03    0.51617E+03
    0.56973E-03    0.52605E+03
    0.58124E-03    0.53612E+03
    0.59299E-03    0.54638E+03
    0.60496E-03    0.55682E+03
    0.61719E-03    0.56746E+03
    0.62965E-03    0.57830E+03
    0.64237E-03    0.58934E+03
    0.65535E-03    0.60058E+03
    0.66859E-03    0.61203E+03
    0.68210E-03    0.62369E+03
    0.69588E-03    0.63556E+03
    0.70993E-03    0.64766E+03
    0.72427E-03    0.65997E+03
    0.73891E-03    0.67251E+03
    0.75383E-03    0.68528E+03
    0.76906E-03    0.69828E+03
    0.78460E-03    0.71152E+03
    0.80045E-03    0.72500E+03
    0.81662E-03    0.73872E+03
    0.83311E-03    0.75270E+03
    0.84994E-03    0.76692E+03
    0.86711E-03    0.78140E+03
    0.88463E-03    0.79614E+03
    0.90250E-03    0.81114E+03
    0.92073E-03    0.82641E+03
    0.93933E-03    0.84195E+03
    0.95831E-03    0.85777E+03
    0.97767E-03    0.87387E+03
    0.99742E-03    0.89025E+03
    0.10176E-02    0.90692E+03
    0.10381E-02    0.92388E+03
    0.10591E-02    0.94114E+03
    0.10805E-02    0.95870E+03
    0.11023E-02    0.97656E+03
    0.11246E-02    0.99474E+03
    0.11473E-02    0.10132E+04
    0.11705E-02    0.10320E+04
    0.11941E-02    0.10512E+04
    0.12182E-02    0.10706E+04
    0.12429E-02    0.10904E+04
    0.12680E-02    0.11105E+04
    0.12936E-02    0.11310E+04
    0.13197E-02    0.11518E+04
    0.13464E-02    0.11729E+04
    0.13736E-02    0.11944E+04
    0.14013E-02    0.12163E+04
    0.14296E-02    0.12385E+04
    0.14585E-02    0.12611E+04
    0.14880E-02    0.12840E+04
    0.15180E-02    0.13074E+04
    0.15487E-02    0.13311E+04
    0.15800E-02    0.13551E+04
    0.16119E-02    0.13796E+04
    0.16445E-02    0.14045E+04
    0.16777E-02    0.14297E+04
    0.17116E-02    0.14554E+04
    0.17462E-02    0.14814E+04
    0.17814E-02    0.15078E+04
    0.18174E-02    0.15347E+04
    0.18541E-02    0.15619E+04
    0.18916E-02    0.15896E+04
    0.19298E-02    0.16177E+04
    0.19688E-02    0.16462E+04
    0.20086E-02    0.16751E+04
    0.20491E-02    0.17045E+04
    0.20905E-02    0.17343E+04
    0.21328E-02    0.17645E+04
    0.21758E-02    0.17951E+04
    0.22198E-02    0.18262E+04
    0.22646E-02    0.18577E+04
    0.23104E-02    0.18896E+04
    0.23571E-02    0.19220E+04
    0.24047E-02    0.19549E+04
    0.24533E-02    0.19881E+04
    0.25028E-02    0.20218E+04
    0.25534E-02    0.20560E+04
    0.26050E-02    0.20906E+04
    0.26576E-02    0.21256E+04
    0.27113E-02    0.21611E+04
    0.27660E-02    0.21970E+04
    0.28219E-02    0.22334E+04
    0.28789E-02    0.22702E+04
    0.29371E-02    0.23074E+04
    0.29964E-02    0.23451E+04
    0.30569E-02    0.23832E+04
    0.31187E-02    0.24218E+04
    0.31817E-02    0.24608E+04
    0.32460E-02    0.25002E+04
    0.33115E-02    0.25400E+04
    0.33784E-02    0.25803E+04
    0.34467E-02    0.26210E+04
    0.35163E-02    0.26621E+04
    0.35874E-02    0.27036E+04
    0.36598E-02    0.27455E+04
    0.37338E-02    0.27878E+04
    0.38092E-02    0.28305E+04
    0.38861E-02    0.28735E+04
    0.39646E-02    0.29170E+04
    0.40447E-02    0.29608E+04
    0.41264E-02    0.30050E+04
    0.42098E-02    0.30495E+04
    0.42948E-02    0.30943E+04
    0.43816E-02    0.31395E+04
    0.44701E-02    0.31850E+04
    0.45604E-02    0.32309E+04
    0.46525E-02    0.32770E+04
    0.47465E-02    0.33234E+04
    0.48424E-02    0.33700E+04
    0.49402E-02    0.34170E+04
    0.50400E-02    0.34641E+04
    0.51419E-02    0.35115E+04
    0.52457E-02    0.35591E+04
    0.53517E-02    0.36069E+04
    0.54598E-02    0.36549E+04
    0.55701E-02    0.37030E+04
    0.56826E-02    0.37512E+04
    0.57974E-02    0.37996E+04
    0.59145E-02    0.38481E+04
    0.60340E-02    0.38967E+04
    0.61559E-02    0.39453E+04
    0.62803E-02    0.39939E+04
    0.64072E-02    0.40425E+04
    0.65366E-02    0.40911E+04
    0.66686E-02    0.41396E+04
    0.68033E-02    0.41880E+04
    0.69408E-02    0.42363E+04
    0.70810E-02    0.42845E+04
    0.72240E-02    0.43324E+04
    0.73700E-02    0.43802E+04
    0.75189E-02    0.44278E+04
    0.76708E-02    0.44750E+04
    0.78257E-02    0.45219E+04
    0.79838E-02    0.45684E+04
    0.81451E-02    0.46147E+04
    0.83096E-02    0.46605E+04
    0.84775E-02    0.47058E+04
    0.86488E-02    0.47507E+04
    0.88235E-02    0.47950E+04
    0.90017E-02    0.48387E+04
    0.91836E-02    0.48818E+04
    0.93691E-02    0.49242E+04
    0.95583E-02    0.49659E+04
    0.97514E-02    0.50069E+04
    0.99484E-02    0.50470E+04
    0.10149E-01    0.50862E+04
    0.10354E-01    0.51246E+04
    0.10564E-01    0.51620E+04
    0.10777E-01    0.51983E+04
    0.10995E-01    0.52336E+04
    0.11217E-01    0.52678E+04
    0.11443E-01    0.53007E+04
    0.11675E-01    0.53325E+04
    0.11910E-01    0.53629E+04
    0.12151E-01    0.53920E+04
    0.12397E-01    0.54197E+04
    0.12647E-01    0.54459E+04
    0.12902E-01    0.54705E+04
    0.13163E-01    0.54936E+04
    0.13429E-01    0.55151E+04
    0.13700E-01    0.55348E+04
    0.13977E-01    0.55527E+04
    0.14259E-01    0.55689E+04
    0.14547E-01    0.55831E+04
    0.14841E-01    0.55954E+04
