#           k/h    P           
    0.10000E-03    0.21839E+03
    0.10202E-03    0.22262E+03
    0.10408E-03    0.22693E+03
    0.10618E-03    0.23133E+03
    0.10833E-03    0.23582E+03
    0.11052E-03    0.24039E+03
    0.11275E-03    0.24504E+03
    0.11503E-03    0.24979E+03
    0.11735E-03    0.25463E+03
    0.11972E-03    0.25957E+03
    0.12214E-03    0.26460E+03
    0.12461E-03    0.26973E+03
    0.12712E-03    0.27495E+03
    0.12969E-03    0.28028E+03
    0.13231E-03    0.28571E+03
    0.13499E-03    0.29125E+03
    0.13771E-03    0.29689E+03
    0.14049E-03    0.30264E+03
    0.14333E-03    0.30851E+03
    0.14623E-03    0.31449E+03
    0.14918E-03    0.32058E+03
    0.15220E-03    0.32679E+03
    0.15527E-03    0.33312E+03
    0.15841E-03    0.33957E+03
    0.16161E-03    0.34615E+03
    0.16487E-03    0.35286E+03
    0.16820E-03    0.35969E+03
    0.17160E-03    0.36666E+03
    0.17507E-03    0.37376E+03
    0.17860E-03    0.38100E+03
    0.18221E-03    0.38838E+03
    0.18589E-03    0.39591E+03
    0.18965E-03    0.40357E+03
    0.19348E-03    0.41139E+03
    0.19739E-03    0.41935E+03
    0.20138E-03    0.42748E+03
    0.20544E-03    0.43575E+03
    0.20959E-03    0.44419E+03
    0.21383E-03    0.45279E+03
    0.21815E-03    0.46156E+03
    0.22255E-03    0.47049E+03
    0.22705E-03    0.47960E+03
    0.23164E-03    0.48888E+03
    0.23632E-03    0.49834E+03
    0.24109E-03    0.50799E+03
    0.24596E-03    0.51782E+03
    0.25093E-03    0.52784E+03
    0.25600E-03    0.53805E+03
    0.26117E-03    0.54846E+03
    0.26645E-03    0.55906E+03
    0.27183E-03    0.56988E+03
    0.27732E-03    0.58090E+03
    0.28292E-03    0.59213E+03
    0.28864E-03    0.60358E+03
    0.29447E-03    0.61525E+03
    0.30042E-03    0.62714E+03
    0.30649E-03    0.63926E+03
    0.31268E-03    0.65161E+03
    0.31899E-03    0.66420E+03
    0.32544E-03    0.67703E+03
    0.33201E-03    0.69011E+03
    0.33872E-03    0.70343E+03
    0.34556E-03    0.71701E+03
    0.35254E-03    0.73085E+03
    0.35966E-03    0.74495E+03
    0.36693E-03    0.75932E+03
    0.37434E-03    0.77397E+03
    0.38190E-03    0.78890E+03
    0.38962E-03    0.80410E+03
    0.39749E-03    0.81960E+03
    0.40552E-03    0.83539E+03
    0.41371E-03    0.85149E+03
    0.42207E-03    0.86788E+03
    0.43060E-03    0.88459E+03
    0.43929E-03    0.90162E+03
    0.44817E-03    0.91896E+03
    0.45722E-03    0.93663E+03
    0.46646E-03    0.95464E+03
    0.47588E-03    0.97298E+03
    0.48550E-03    0.99167E+03
    0.49530E-03    0.10107E+04
    0.50531E-03    0.10301E+04
    0.51552E-03    0.10499E+04
    0.52593E-03    0.10700E+04
    0.53656E-03    0.10905E+04
    0.54739E-03    0.11114E+04
    0.55845E-03    0.11327E+04
    0.56973E-03    0.11544E+04
    0.58124E-03    0.11764E+04
    0.59299E-03    0.11989E+04
    0.60496E-03    0.12218E+04
    0.61719E-03    0.12452E+04
    0.62965E-03    0.12689E+04
    0.64237E-03    0.12931E+04
    0.65535E-03    0.13178E+04
    0.66859E-03    0.13429E+04
    0.68210E-03    0.13684E+04
    0.69588E-03    0.13944E+04
    0.70993E-03    0.14209E+04
    0.72427E-03    0.14479E+04
    0.73891E-03    0.14754E+04
    0.75383E-03    0.15034E+04
    0.76906E-03    0.15319E+04
    0.78460E-03    0.15609E+04
    0.80045E-03    0.15904E+04
    0.81662E-03    0.16204E+04
    0.83311E-03    0.16510E+04
    0.84994E-03    0.16822E+04
    0.86711E-03    0.17139E+04
    0.88463E-03    0.17461E+04
    0.90250E-03    0.17790E+04
    0.92073E-03    0.18124E+04
    0.93933E-03    0.18464E+04
    0.95831E-03    0.18810E+04
    0.97767E-03    0.19163E+04
    0.99742E-03    0.19521E+04
    0.10176E-02    0.19886E+04
    0.10381E-02    0.20257E+04
    0.10591E-02    0.20634E+04
    0.10805E-02    0.21019E+04
    0.11023E-02    0.21409E+04
    0.11246E-02    0.21807E+04
    0.11473E-02    0.22212E+04
    0.11705E-02    0.22623E+04
    0.11941E-02    0.23041E+04
    0.12182E-02    0.23467E+04
    0.12429E-02    0.23900E+04
    0.12680E-02    0.24340E+04
    0.12936E-02    0.24787E+04
    0.13197E-02    0.25242E+04
    0.13464E-02    0.25705E+04
    0.13736E-02    0.26175E+04
    0.14013E-02    0.26653E+04
    0.14296E-02    0.27139E+04
    0.14585E-02    0.27632E+04
    0.14880E-02    0.28134E+04
    0.15180E-02    0.28644E+04
    0.15487E-02    0.29163E+04
    0.15800E-02    0.29689E+04
    0.16119E-02    0.30224E+04
    0.16445E-02    0.30768E+04
    0.16777E-02    0.31320E+04
    0.17116E-02    0.31881E+04
    0.17462E-02    0.32450E+04
    0.17814E-02    0.33028E+04
    0.18174E-02    0.33615E+04
    0.18541E-02    0.34212E+04
    0.18916E-02    0.34817E+04
    0.19298E-02    0.35431E+04
    0.19688E-02    0.36054E+04
    0.20086E-02    0.36687E+04
    0.20491E-02    0.37328E+04
    0.20905E-02    0.37980E+04
    0.21328E-02    0.38640E+04
    0.21758E-02    0.39310E+04
    0.22198E-02    0.39990E+04
    0.22646E-02    0.40679E+04
    0.23104E-02    0.41377E+04
    0.23571E-02    0.42086E+04
    0.24047E-02    0.42804E+04
    0.24533E-02    0.43531E+04
    0.25028E-02    0.44268E+04
    0.25534E-02    0.45015E+04
    0.26050E-02    0.45771E+04
    0.26576E-02    0.46538E+04
    0.27113E-02    0.47314E+04
    0.27660E-02    0.48099E+04
    0.28219E-02    0.48894E+04
    0.28789E-02    0.49699E+04
    0.29371E-02    0.50514E+04
    0.29964E-02    0.51338E+04
    0.30569E-02    0.52172E+04
    0.31187E-02    0.53015E+04
    0.31817E-02    0.53868E+04
    0.32460E-02    0.54730E+04
    0.33115E-02    0.55601E+04
    0.33784E-02    0.56482E+04
    0.34467E-02    0.57371E+04
    0.35163E-02    0.58270E+04
    0.35874E-02    0.59178E+04
    0.36598E-02    0.60094E+04
    0.37338E-02    0.61019E+04
    0.38092E-02    0.61953E+04
    0.38861E-02    0.62894E+04
    0.39646E-02    0.63845E+04
    0.40447E-02    0.64803E+04
    0.41264E-02    0.65769E+04
    0.42098E-02    0.66742E+04
    0.42948E-02    0.67724E+04
    0.43816E-02    0.68712E+04
    0.44701E-02    0.69707E+04
    0.45604E-02    0.70709E+04
    0.46525E-02    0.71718E+04
    0.47465E-02    0.72732E+04
    0.48424E-02    0.73753E+04
    0.49402E-02    0.74779E+04
    0.50400E-02    0.75810E+04
    0.51419E-02    0.76846E+04
    0.52457E-02    0.77887E+04
    0.53517E-02    0.78932E+04
    0.54598E-02    0.79981E+04
    0.55701E-02    0.81033E+04
    0.56826E-02    0.82088E+04
    0.57974E-02    0.83145E+04
    0.59145E-02    0.84205E+04
    0.60340E-02    0.85269E+04
    0.61559E-02    0.86332E+04
    0.62803E-02    0.87394E+04
    0.64072E-02    0.88456E+04
    0.65366E-02    0.89518E+04
    0.66686E-02    0.90578E+04
    0.68033E-02    0.91637E+04
    0.69408E-02    0.92693E+04
    0.70810E-02    0.93745E+04
    0.72240E-02    0.94794E+04
    0.73700E-02    0.95839E+04
    0.75189E-02    0.96878E+04
    0.76708E-02    0.97911E+04
    0.78257E-02    0.98936E+04
